2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,95.85733,96.18608,96.36979,96.54808,96.71666,96.82549,97.04959,
,,,,,,,,,
,,,,,32.42617,,,,
83.9513,84.10289,84.49272,85.49399,,86.76758,,87.96985,,
,,,,,,,,,
,,,,,,,,,
,,,97.96241,,,,,98.84151,
,,,,,,,,,
26.83128,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
69.53639,,,,90.1431,,,,,
94.62094,,94.67575,,92.86866,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,83.09829,,,,,,,
,,,,,,,,,
,,93.95423,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,26.00299,22.31155,
,,,,,,,,,
,,,,,,,,,
,57.09338,,60.40994,,,,63.74562,,
,,96.43091,,,93.70207,,92.86831,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,58.30898,,,,,,,
,,,,,,,,,
,,,99.38553,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
77.56113,,79.13058,79.65391,80.21875,,79.03643,,,
,90.81672,92.6606,94.10609,94.91975,95.25666,95.43963,95.60142,,
,,,,,,,,,
,,67.8007,,78.10059,,,77.88723,,
,,73.21188,,70.19822,,,,,
,,,,99.97435,,,,,
93.56802,93.78637,93.84457,94.1701,94.30538,94.34268,94.55732,94.78283,94.95296,
98.16356,98.26723,98.07271,98.3359,98.39594,98.36387,98.43593,98.52387,,
,,,,,,,,,
,,,,,99.99486,99.98055,99.98383,,
,,,,,,,,,
,95.51199,,94.77022,,,,96.60522,97.12709,
,,,,,,,,,
,,,,,,,,,
,93.52045,,,,,,,,
,,,,,,,,,
83.83223,84.14787,84.5641,84.59739,85.36389,85.49051,85.80934,86.01721,86.24776,
,,,98.97326,,,,,,
,,,,,,,,,
,,,,,,,,,
,92.89486,92.87732,93.10214,93.72947,,94.1399,94.36792,,
,,83.00767,,,,,,,
,,,83.58271,,,88.69342,,,
80.45383861,84.25275162,83.22505865,86.68521419,81.79392191,83.96331343,82.78891643,87.49585711,86.13587,
